,Subject,age,height,Occasion,fitted Fitted values (cm),resied Fitted values (cm)
134,15,0.7781,150.2,8,149.7645,-0.43549162
135,15,0.9945,152.3,9,151.2881,-1.01187763
136,16,-1,142.8,1,142.8789,0.07888412
137,16,-0.7479,144.9,2,144.0533,-0.84673361
138,16,-0.463,145,3,145.3804,0.38044412
139,16,-0.1643,146.7,4,146.7719,0.07190776
140,16,-0.0027,147.2,5,147.5247,0.32470496
141,16,0.2466,148.9,6,148.686,-0.21395629
142,16,0.5562,150.1,7,150.1283,0.02828389
143,16,0.7781,151,8,151.162,0.16198252
144,16,0.9945,152.2,9,152.1701,-0.02994004
145,17,-1,134.9,1,134.5774,-0.32263712
146,17,-0.7479,137.4,2,136.7,-0.69997887
147,17,-0.463,138.2,3,139.0989,0.89885229
148,17,-0.1643,140.2,4,141.6139,1.41387816
149,17,-0.0027,143.6,5,142.9745,-0.62546507
150,17,0.2466,144.2,6,145.0736,0.87361745
100,12,-1,149.9,1,149.7541,-0.14588893
101,12,-0.7479,151.7,2,151.531,-0.16897592
102,12,-0.463,153.3,3,153.5391,0.23912609
103,12,-0.1643,156.1,4,155.6445,-0.45550335
104,12,0,156.7,5,156.8026,0.10255618
105,12,0.2466,157.8,6,158.5407,0.74070275
106,12,0.5562,160.7,7,160.7229,0.02290136
107,12,0.7781,162.7,8,162.287,-0.41304867
108,12,0.9945,163.8,9,163.8122,0.01223485
109,13,-1,148.9,1,147.6491,-1.250859
110,13,-0.715,149.8,2,150.0497,0.24970989
111,13,-0.463,151.7,3,152.1723,0.47231817
112,13,-0.1643,154.4,4,154.6883,0.28828283
113,13,-0.0027,155.5,5,156.0494,0.5494475
114,13,0.2466,156.4,6,158.1493,1.74931355
115,13,0.5562,161.4,7,160.7571,-0.64291056
116,13,0.7781,163.9,8,162.6262,-1.27383605
117,13,0.9945,164.6,9,164.4489,-0.1510883
118,14,-1,151.6,1,150.8512,-0.74878657
119,14,-0.7479,153.2,2,153.0241,-0.17590119
120,14,-0.463,155.2,3,155.4797,0.279692
121,14,-0.1643,157.3,4,158.0542,0.75422934
122,14,0,159.1,5,159.4704,0.37035416
123,14,0.2466,160.9,6,161.5958,0.69583427
124,14,0.5562,164.4,7,164.2643,-0.13567976
125,14,0.7781,166.9,8,166.1769,-0.72309243
126,14,0.9945,168.4,9,168.0421,-0.35791038
127,15,-1,137.5,1,137.2454,-0.25461376
128,15,-0.7479,139.3,2,139.0204,-0.27964571
129,15,-0.463,140.9,3,141.0263,0.12625829
130,15,-0.1643,142.7,4,143.1293,0.42932436
131,15,-0.0027,144.2,5,144.2671,0.06710634
132,15,0.2466,145.7,6,146.0224,0.32236035
133,15,0.5562,147.09,7,148.2022,1.11217038
134,15,0.7781,150.2,8,149.7645,-0.43549162
135,15,0.9945,152.3,9,151.2881,-1.01187763
136,16,-1,142.8,1,142.8789,0.07888412
137,16,-0.7479,144.9,2,144.0533,-0.84673361
138,16,-0.463,145,3,145.3804,0.38044412
139,16,-0.1643,146.7,4,146.7719,0.07190776
140,16,-0.0027,147.2,5,147.5247,0.32470496
141,16,0.2466,148.9,6,148.686,-0.21395629
142,16,0.5562,150.1,7,150.1283,0.02828389
143,16,0.7781,151,8,151.162,0.16198252
144,16,0.9945,152.2,9,152.1701,-0.02994004
145,17,-1,134.9,1,134.5774,-0.32263712
146,17,-0.7479,137.4,2,136.7,-0.69997887
147,17,-0.463,138.2,3,139.0989,0.89885229
148,17,-0.1643,140.2,4,141.6139,1.41387816
149,17,-0.0027,143.6,5,142.9745,-0.62546507
150,17,0.2466,144.2,6,145.0736,0.87361745
151,17,0.5562,147.9,7,147.6804,-0.21957972
152,17,0.7781,150.3,8,149.5488,-0.75120262
153,17,0.9945,151.8,9,151.3709,-0.42913501
154,18,-1,145.5,1,145.1643,-0.33565726
155,18,-0.7479,146.2,2,146.6796,0.47961555
156,18,-0.463,148.2,3,148.392,0.19203612
157,18,-0.1643,150.3,4,150.1874,-0.112597
158,18,-0.0027,152,5,151.1587,-0.84128369
159,18,0.2466,152.3,6,152.6572,0.35715944
160,18,0.5562,154.3,7,154.518,0.21804188
161,18,0.7781,156.2,8,155.8518,-0.34820549
162,18,0.9945,156.8,9,157.1525,0.35248883
163,19,-1,156.9,1,155.5348,-1.36521202
164,19,-0.7479,157.9,2,157.8119,-0.08807619
165,19,-0.463,160.3,3,160.3853,0.08533118
166,19,-0.1643,161.9,4,163.0834,1.18338939
167,19,0,163.8,5,164.5675,0.76745689
168,19,0.2466,165.5,6,166.7949,1.29491305
169,19,0.5562,169.9,7,169.5914,-0.30857266
170,19,0.7781,172.4,8,171.5958,-0.80422342
171,19,0.9945,174.4,9,173.5504,-0.84955387
172,20,-1,146.5,1,146.9238,0.42376582
173,20,-0.7479,148.4,2,148.0666,-0.33344707
174,20,-0.463,149.3,3,149.358,0.05802476
175,20,-0.1643,151.2,4,150.7121,-0.48794704
176,20,-0.0027,152.1,5,151.4446,-0.65540282
177,20,0.2466,152.4,6,152.5747,0.17469169
178,20,0.5562,153.9,7,153.9781,0.07813036
179,20,0.7781,154.9,8,154.984,0.08401874
180,20,0.9945,155.4,9,155.965,0.56497523
181,21,-1,143.9,1,143.0799,-0.82010484
182,21,-0.7479,145.1,2,144.9566,-0.14336855
183,21,-0.463,147,3,147.0775,0.07754445
184,21,-0.1643,149.2,4,149.3012,0.10119034
185,21,-0.0027,149.8,5,150.5042,0.70420733
186,21,0.2466,151.5,6,152.3601,0.86009927
187,21,0.5562,153.17,7,154.6649,1.49488925
188,21,0.7781,156.9,8,156.3168,-0.58319571
189,21,0.9945,159.6,9,157.9278,-1.67222493
190,22,-1,147.4,1,146.5365,-0.86347378
191,22,-0.7479,148.8,2,148.5611,-0.23886224
192,22,-0.463,150.1,3,150.8492,0.74916563
193,22,-0.1643,152.5,4,153.248,0.7480211
194,22,-0.0027,154.7,5,154.5458,-0.15417159
195,22,0.2466,156,6,156.548,0.54795318
196,22,0.5562,158.4,7,159.0343,0.6343464
197,22,0.7781,161.5,8,160.8164,-0.68357784
198,22,0.9945,163.3,9,162.5543,-0.7456725
199,23,-1,144.5,1,143.9086,-0.59138986
200,23,-0.7479,146,2,145.7129,-0.28714119
201,23,-0.463,147.4,3,147.7519,0.35185304
202,23,-0.1643,149.2,4,149.8896,0.68961217
203,23,-0.0027,150.8,5,151.0462,0.24616347
204,23,0.2466,152.5,6,152.8304,0.33037288
205,23,0.5562,155,7,155.0461,0.04614197
206,23,0.7781,156.8,8,156.6343,-0.16574704
207,23,0.9945,158.8,9,158.183,-0.61699888
208,24,-1,147.8,1,146.3543,-1.44567662
209,24,-0.7479,148.2,2,148.0641,-0.13593533
210,24,-0.463,150.2,3,149.9963,-0.20374456
211,24,-0.1643,151,4,152.022,1.02203776
212,24,-0.0027,152.2,5,153.118,0.91800837
213,24,0.2466,153.6,6,154.8088,1.20876007
214,24,0.5562,155.8,7,156.9085,1.10846615
215,24,0.7781,159.2,8,158.4134,-0.78660886
216,24,0.9945,161.6,9,159.881,-1.71898484
217,25,-1,135.5,1,135.1138,-0.38624822
218,25,-0.7479,136.6,2,136.147,-0.4530294
219,25,-0.463,137.3,3,137.3146,0.01461852
220,25,-0.1643,138.2,4,138.5388,0.33882503
221,25,-0.0027,139,5,139.2011,0.20113428
222,25,0.2466,139.5,6,140.2229,0.72287744
223,25,0.5562,141,7,141.4918,0.49175704
224,25,0.7808,142.7,8,142.4123,-0.28773147
225,25,0.9945,143.9,9,143.2881,-0.61189306
226,26,-1,132.2,1,132.4534,0.25342538
227,26,-0.7479,134.3,2,133.8528,-0.44723612
228,26,-0.463,135.1,3,135.4342,0.33416626
229,26,-0.1643,136.7,4,137.0922,0.39216869
230,26,-0.0027,138.4,5,137.9892,-0.41083368
231,26,0.2466,138.9,6,139.373,0.47296279
232,26,0.5562,141.8,7,141.0915,-0.70853185
233,26,0.7781,142.6,8,142.3232,-0.27682533
234,26,1.0055,143.1,9,143.5854,0.4854102
